Q,A,label
프로젝트,프로젝트,0
할 수 있다,할 수 있다,0
감사합니다,감사합니다,0
가능하다,가능하다,0
가능성,가능성,0
행복한,행복한,0
유용한,유용한,0
기회,기회,0
개발,개발,0
희망,희망,0
고맙습니다,고맙습니다,0
존중,존중,0
해결책,해결책,0
열정,열정,0
성공,성공,0
최선,최선,0
도전,도전,0
가치,가치,0
완벽,완벽,0
재능,재능,0
경쟁,경쟁,0
행복,행복,0
유행,유행,0
좌절,좌절,0
어,어,0
신뢰,신뢰,0
가족,가족,0
감사,감사,0
기회,기회,0
처음,처음,0
유혹,유혹,0
변화,변화,0
승리,승리,0
목표,목표,0
선택,선택,0
열쇠,열쇠,0
콤플렉스,콤플렉스,0
스트레스,스트레스,0
아이디어,아이디어,0
선물,선물,0
지혜,지혜,0
경험,경험,0
긍정,긍정,0
꿈,꿈,0
칭찬,칭찬,0
사랑,사랑,0
웃음,웃음,0
시간,시간,0
창조,창조,0
습관,습관,0
설득,설득,0
관계,관계,0
봉사,봉사,0
용기,용기,0
팀,팀,0
팀워크,팀워크,0
팀플레이,팀플레이,0
자바,자바,0
티씨피,TCP,0
웹서버,웹서버,0
프로세스,프로세스,0
스레드,스레드,0
동기,동기,0
비동기,비동기,0
데이터베이스,데이터베이스,0
스프링,스프링,0
로드 밸런서,로드 밸런서,0
리버스 프록시,리버스 프록시,0
도커,도커,0
Docker,Docker,0
컨테이너,컨테이너,0
배포,배포,0
데브옵스,데브옵스,0
기술,기술,0
쿠버네티스,쿠버네티스,0
노드,노드,0
몽고디비,Mongo DB,0
알디비엠에스,RDBMS,0
클러스터,Cluster,0
스키마,스키마,0
깃,Git,0
자바스크립트,Javascript,0
루비,Ruby,0
관계형,RDBMS,0
안드로이드,Android,0
웹,웹,0
리엑트,React,0
뷰,Vue,0
없습니다,없습니다,0
앱,어플리케이션,0
디자인,디자인 패턴,0
MVC,MVC패턴,0
엠브이씨,MVC패턴,0
워터폴,워터폴,0
애자일,애자일 방법,0
인덱스,DB Index,0
성능,성능,0
레스트풀,RESTFUL,0
RESTFUL,RESTFUL,0
모르,모름,0
모르겠,모름,0
공부,공부,0